ENVST-UA,Environmental Studies
LAW-UH,Legal Studies
LAW-LW,Law Courses
SRPP-UH,Social Research & Public Policy
SABR1-UC,Study Abroad
BE-GY,BioEngineering
XRM1-GB,Exec MS Risk Management
TCTM1-GC,Tourism Management
FLGED-GE,Foreign Language Education
MAINT-UT,Maintenance
EDPLY-GE,Educational Policy
HI-UY,History
DS-UA,Data Science
SPEC-UT,TSOA Special Programs
ITPG-GT,Interactive Telecommunications
PCL09-DN,Preclinical Skills
PL-UY,Philosophy
ART-GE,Studio Art
ARTH-GA,Art and Architecture
AFRST-UH,African Studies
IFST-GA,Institute of French Studies
CSCD-GE,Communicative Sciences & Disorders
HERST-UH,Heritage Studies
PH-UY,Physics
EDUC-UH,Education
MPATC-GE,Music Performance/Theory & Composition
FLGED-UE,Foreign Language Education
MPAME-UE,Music Education
MPAPA-GE,Performing Arts Administration
RELST-GA,Religious Studies
SPAN-UA,Spanish
MUSST-UH,Museum Studies
CADT-UH,"Core: Arts, Design and Technology"
SAGC-UF,South Asian Cultures- Global Cultures
CCSC-SHU,Foundations of Science
MEST1-UC,Media Studies
VIP-UY,Vertically Integrated Projects
HIST-UA,History
PSYCH-UA,Psychology
PEACE-UH,Peace Studies
IRISH-GA,Irish Studies
ARTT-GE,Art Therapy
GSAS-GA,Grad School of Arts & Science
ARTH1-UC,Art History
BSPA-UB,Business and Society
ELEC-GG,Electives
SOCSC-UH,Social Sciences
MAINT-UY,Maintenance
GAMES-UT,Game Design
CORE-UA,College Core Curriculum
ACS-UH,Arab Crossroads Studies
CLASS-UA,Classics
APSTA-GE,Applied Statistics
CLAB-NZ,NYU College and Career Lab
PHIL-UH,Philosophy
PORT-GA,Portuguese
MGMT-UB,Management
ARTP-GE,Art & Art Professions
SCAI-UF,Senior Capstone I
DESL1-UC,American Language Institute
ECON1-UC,Economics
PSYCH-GA,Psychology
EN-UY,English
MA-UY,Mathematics
MUSIC-UA,Music
UGPH-GU,Undergraduate Global Public Health
MPAIA-GE,Interactive Music Courses
BEHSC-DN,Behavioral Sciences
IBEX-UB,Study Abroad
POL-UA,Politics
INTM-SHU,Interactive Media Arts
BUSN1-UC,Business
UNOD,University of Dublin
LITCW-UH,Literature & Creative Writing
MPATE-UE,Music Technology
ADSA-NH,Abu Dhabi Summer Academy
RUSSN-GA,Russian & Slavic Studies
EDLED-GE,Educational Administration Educational Leadership
PT-GE,Physical Therapy
CFII-UF,Cultural Foundations II
PHIL-GA,Philosophy
SOCED-GE,Social Studies Education
CM-UY,Chemistry
MTHED-GE,Mathematics Education
CSCI-UA,Computer Science
CENG-SHU,Computer Engineering
SL-UY,Student Life
CM-GY,Chemistry
CINE-UT,Cinema Studies
DC-UF,Dean's Circle
ARTCR-GE,Art Theory & Critical Studies
DRAP-GA,Draper MA Program
UNIST-UH,University Studies
IFMTV-UT,"Int`l Pgms, Film & Television"
SFI-UF,Social Foundations I
MKTG-GB,Marketing
MASY1-GC,Management & Systems MA/GC
ARTH-UH,Art History
BPEP-SHU,Business & Political Economy Program
REAL1-UC,Real Estate
OPMG-GB,Operations Management
MEIS-GA,Middle Eastern Studies
EG-UY,General Engineering
IMPG-GB,International Management Pgrm
BIOL-UH,Biology
PHYS-SHU,Physics
EAST-UA,East Asian Studies
CAGC-UF,Caribbean Cultures
EXPR1-UC,Experiential Learning
MPATC-UE,Music Performance/Theory & Composition
INTA-GB,Interarea
ELEC1-UC,Interdisciplinary
BEH03-DN,Behavioral Sciences
EXCH,Exchange Student
HPAM-GP,Health policy and management course
MEIS-UA,Middle Eastern and Islamic Studies
PUBB1-GC,Publishing Masters
FMTV-GT,Graduate Film & TV
SCIEN-UH,Science
CDAD-UH,Core: Data and Discovery
LRMS1-UC,Leadership and Management Studies
MSPP-GP,Master of Science in Public Policy Courses
NUTR-GE,Nutrition & Dietetics
CSCD-UE,Communicative Sciences & Disorders
CHEM-UH,Chemistry
CINE-GT,Cinema Studies
EX-UY,Exam Hour
CAMS-UA,Child/Adoles Mental Hlth Stds
IF-UF,Independent Fieldwork
ECI-UF,Economics I
ARTS1-UC,Arts
APSTA-UE,Applied Statistics
BEH01-DN,Behavioral Sciences
MPAJZ-UE,Music Instrumental: Jazz
SOIM-SHU,Social Impact
MG-GY,Management
LWSO-SHU,Law and Society
FREN-UA,French
SEG-UY,"Society, Environment, & Globalization"
AW-UH,The Ancient World
FILMM-UH,Film and New Media
MPABR-GE,Music Instrumental: Brass
MAINT-GA,Maintenance
ART-UE,Studio Art
SOCS1-UC,Social Sciences
ETHIC-DN,Ethics
HOU-UF,History of the Universe
ANST-GA,Animal Studies
MPAMB-UE,Music Business
SCHOL-UG,Scholarly Communities
GMTW-GT,Musical Theatre
BIOL-GA,Biology
MCC-GE,"Media, Culture & Communication"
IMNY-UT,Interactive Media Arts
MUSIC-UH,Music
GCHN-SHU,Global China Studies
MTHED-UE,Mathematics Education
MAINT-UA,Maintenance
BEH05-DN,Behavioral Sciences
SCOI-UF,Senior Colloquium I
HIST-GA,History
COLIT-GA,Comparative Literature
CFI-UF,Cultural Foundations I
IM-UH,Interactive Media
CLS09-DN,Clinical Sciences
PCL10-DN,Preclinical Skills
ITHEA-UT,"Int`l Pgms, Drama"
COHRT-UA,First-Year Cohort Meeting
INDEP-GP,Independent reading course
HPSE-UE,Higher & Post-Secondary Educ
LWSOC-UA,Law and Society
SAS-SHU,Study Away Lectures 
NEST-GA,Near Eastern Studies
PRECL-CD,Intro to Clinics
HPSE-GE,Higher & Post-Secondary Education
SPCED-GE,Special Education
